Date,Open,High,Low,Close,Adj Close,Volume
1994-03-11,20.625,20.875,20.625,20.875,7.533903121948242,2359000.0
1994-03-14,20.75,20.75,20.625,20.625,7.443675994873047,536500.0
1994-03-15,20.625,20.75,20.625,20.625,7.443675994873047,215700.0
1994-03-16,20.625,21.375,20.625,21.375,7.714360237121582,338600.0
1994-03-17,21.375,21.375,20.875,21.125,7.624129295349121,195900.0
1994-03-18,21.125,21.125,20.75,21.0,7.579015731811523,285700.0
1994-03-21,21.0,21.0,20.875,20.875,7.533903121948242,38900.0
1994-03-22,20.875,20.875,20.75,20.75,7.488791465759277,78400.0
1994-03-23,20.75,21.5,20.75,21.25,7.669244289398193,209200.0
1994-03-24,21.125,21.125,21.0,21.0,7.579015731811523,155000.0
1994-03-25,21.0,21.125,21.0,21.0,7.579015731811523,91500.0
1994-03-28,21.0,21.125,20.875,21.125,7.624129295349121,111200.0
1994-03-29,21.125,21.125,20.625,20.625,7.443675994873047,101200.0
1994-03-30,20.625,20.75,20.375,20.5,7.398566246032715,105000.0
1994-03-31,20.5,20.625,20.5,20.625,7.443675994873047,108300.0
1994-04-04,20.375,20.375,20.0,20.125,7.263224124908447,42300.0
1994-04-05,20.25,20.875,20.25,20.75,7.488791465759277,55600.0
1994-04-06,20.75,20.875,20.75,20.875,7.533903121948242,31800.0
1994-04-07,20.875,21.0,20.75,20.75,7.488791465759277,52000.0
1994-04-08,20.75,20.75,20.5,20.5,7.398566246032715,24000.0
1994-04-11,20.5,20.625,20.375,20.375,7.353449821472168,44400.0
1994-04-12,20.375,20.5,20.25,20.5,7.398566246032715,15100.0
1994-04-13,20.5,20.5,20.375,20.375,7.353449821472168,30500.0
1994-04-14,20.375,20.5,20.375,20.375,7.353449821472168,38800.0
1994-04-15,20.375,20.5,20.125,20.125,7.263224124908447,12200.0
1994-04-18,20.125,20.375,20.125,20.125,7.263224124908447,39800.0
1994-04-19,20.25,20.375,20.25,20.25,7.308337211608887,24500.0
1994-04-20,20.25,20.25,20.125,20.25,7.308337211608887,72000.0
1994-04-21,20.25,20.375,20.25,20.25,7.308337211608887,15000.0
1994-04-22,20.25,20.5,20.125,20.5,7.398566246032715,20700.0
1994-04-25,20.5,20.5,20.25,20.25,7.308337211608887,27300.0
1994-04-26,20.375,20.5,20.375,20.5,7.398566246032715,64000.0
1994-04-28,20.5,20.75,20.5,20.625,7.443675994873047,27100.0
1994-04-29,20.625,20.625,20.5,20.5,7.398566246032715,5500.0
1994-05-02,20.5,20.625,20.5,20.625,7.443675994873047,11700.0
1994-05-03,20.625,20.625,20.375,20.5,7.398566246032715,29000.0
1994-05-04,20.5,20.5,20.25,20.25,7.308337211608887,39600.0
1994-05-05,20.25,20.375,20.125,20.375,7.353449821472168,7600.0
1994-05-06,20.375,20.375,20.0,20.125,7.263224124908447,13600.0
1994-05-09,20.125,20.25,20.125,20.25,7.308337211608887,3700.0
1994-05-10,20.25,20.25,20.125,20.25,7.308337211608887,75100.0
1994-05-11,20.25,20.375,20.125,20.25,7.308337211608887,81400.0
1994-05-12,20.25,20.375,20.25,20.25,7.308337211608887,7100.0
1994-05-13,20.25,20.375,20.25,20.25,7.308337211608887,14500.0
1994-05-16,20.25,20.375,20.125,20.25,7.308337211608887,12600.0
1994-05-17,20.25,20.375,20.125,20.125,7.263224124908447,13400.0
1994-05-18,20.125,20.375,20.125,20.375,7.353449821472168,6700.0
1994-05-19,20.375,20.5,20.375,20.5,7.398566246032715,36500.0
1994-05-20,20.5,20.75,20.5,20.5,7.398566246032715,26800.0
1994-05-23,20.625,21.0,20.625,21.0,7.579015731811523,36200.0
1994-05-24,21.0,21.375,20.875,21.375,7.714360237121582,116200.0
1994-05-25,21.625,21.875,21.625,21.75,7.849693775177002,283300.0
1994-05-26,21.625,21.625,21.5,21.5,7.759469032287598,50200.0
1994-05-27,21.5,21.625,21.375,21.375,7.714360237121582,10000.0
1994-05-31,21.375,21.5,21.375,21.5,7.759469032287598,41400.0
1994-06-01,21.5,21.875,21.5,21.75,7.849693775177002,166300.0
1994-06-02,21.75,21.875,21.75,21.75,7.849693775177002,243600.0
1994-06-03,21.75,21.875,21.75,21.75,7.849693775177002,42400.0
1994-06-06,21.875,22.75,21.875,22.625,8.165485382080078,87200.0
1994-06-07,22.625,22.625,21.875,21.875,7.894810676574707,19700.0
1994-06-08,21.875,22.125,21.75,21.875,7.894810676574707,16100.0
1994-06-09,21.875,22.0,21.875,22.0,7.939923286437988,25000.0
1994-06-10,22.0,22.125,22.0,22.0,7.939923286437988,23900.0
1994-06-13,22.0,22.0,21.875,22.0,7.939923286437988,72800.0
1994-06-14,22.0,22.25,22.0,22.125,7.985034942626953,38700.0
1994-06-15,22.125,22.25,21.75,22.0,7.939923286437988,74700.0
1994-06-16,22.0,22.0,21.75,21.875,7.894810676574707,15200.0
1994-06-17,21.875,21.875,21.375,21.375,7.714360237121582,12700.0
1994-06-20,21.375,21.375,20.75,21.0,7.579015731811523,31300.0
1994-06-21,21.0,21.0,20.75,21.0,7.579015731811523,9800.0
1994-06-22,21.0,21.25,21.0,21.25,7.669244289398193,13200.0
1994-06-23,21.25,21.25,20.75,20.75,7.488791465759277,35400.0
1994-06-24,20.75,21.375,20.75,21.375,7.714360237121582,19400.0
1994-06-27,21.25,21.25,20.75,20.75,7.488791465759277,58300.0
1994-06-28,20.75,21.0,20.5,20.625,7.443675994873047,14500.0
1994-06-29,20.625,20.75,20.375,20.5,7.398566246032715,37700.0
1994-06-30,20.5,20.5,20.25,20.5,7.398566246032715,103200.0
1994-07-01,20.5,21.5,20.5,21.25,7.669244289398193,36800.0
1994-07-05,21.375,22.0,21.375,21.625,7.804579734802246,66800.0
1994-07-06,21.625,21.875,21.5,21.75,7.849693775177002,26500.0
1994-07-07,21.625,21.625,21.375,21.5,7.759469032287598,53900.0
1994-07-08,21.5,21.625,21.5,21.625,7.804579734802246,13200.0
1994-07-11,21.625,22.125,21.625,21.75,7.849693775177002,84800.0
1994-07-12,21.75,22.0,21.125,21.25,7.669244289398193,22700.0
1994-07-13,21.25,21.5,21.25,21.375,7.714360237121582,32700.0
1994-07-14,21.375,21.75,21.25,21.625,7.804579734802246,32400.0
1994-07-15,21.625,21.625,21.5,21.625,7.804579734802246,27200.0
1994-07-18,21.625,21.625,21.5,21.5,7.759469032287598,3200.0
1994-07-19,21.5,21.5,21.25,21.25,7.669244289398193,35000.0
1994-07-20,21.5,21.625,21.5,21.625,7.804579734802246,42900.0
1994-07-21,21.625,21.875,21.5,21.875,7.894810676574707,24800.0
1994-07-22,21.875,21.875,21.125,21.125,7.624129295349121,42000.0
1994-07-25,21.125,21.25,20.5,20.5,7.398566246032715,11200.0
1994-07-26,20.5,20.5,20.125,20.5,7.398566246032715,49300.0
1994-07-27,20.5,20.75,20.375,20.5,7.398566246032715,9100.0
1994-07-28,20.5,20.75,20.375,20.5,7.398566246032715,7200.0
1994-07-29,20.5,20.5,20.375,20.5,7.398566246032715,25200.0
1994-08-01,20.5,20.75,20.5,20.75,7.488791465759277,9000.0
1994-08-02,21.0,21.5,21.0,21.5,7.759469032287598,4700.0
1994-08-03,21.5,21.875,21.5,21.875,7.894810676574707,10600.0
1994-08-04,21.875,22.0,21.5,21.5,7.759469032287598,12600.0
1994-08-05,21.25,21.25,21.125,21.125,7.624129295349121,47100.0
1994-08-08,21.125,21.25,21.0,21.0,7.579015731811523,9100.0
1994-08-09,21.0,21.25,21.0,21.0,7.579015731811523,7300.0
1994-08-10,21.125,21.25,21.125,21.125,7.624129295349121,16300.0
1994-08-11,21.125,21.25,20.875,21.125,7.624129295349121,21500.0
