Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.0,5.1875,5.15625,5.15625,2.151327133178711,22400.0
1973-02-22,0.0,5.203125,5.171875,5.171875,2.157846450805664,11200.0
1973-02-23,0.0,5.171875,5.125,5.140625,2.144808292388916,52800.0
1973-02-26,0.0,5.125,5.125,5.125,2.1382899284362793,9600.0
1973-02-27,0.0,5.140625,5.125,5.125,2.1382899284362793,18400.0
1973-02-28,0.0,5.140625,5.125,5.125,2.1382899284362793,29600.0
1973-03-01,0.0,5.125,5.0625,5.0625,2.1154630184173584,24000.0
1973-03-02,0.0,5.0625,5.03125,5.03125,2.102402925491333,36800.0
1973-03-05,0.0,5.046875,5.0,5.015625,2.0958752632141113,48000.0
1973-03-06,0.0,5.078125,5.015625,5.078125,2.1219921112060547,12800.0
1973-03-07,0.0,5.125,5.0625,5.125,2.141580104827881,97600.0
1973-03-08,0.0,5.109375,5.09375,5.109375,2.135050058364868,8000.0
1973-03-09,0.0,5.125,5.09375,5.09375,2.1285207271575928,100800.0
1973-03-12,0.0,5.09375,5.0625,5.0625,2.1154630184173584,57600.0
1973-03-13,0.0,5.03125,5.03125,5.03125,2.102402925491333,114400.0
1973-03-14,0.0,5.125,5.0625,5.109375,2.135050058364868,226400.0
1973-03-15,0.0,5.21875,5.125,5.1875,2.167696475982666,74400.0
1973-03-16,0.0,5.1875,5.15625,5.1875,2.167696475982666,116000.0
1973-03-19,0.0,5.234375,5.171875,5.234375,2.1872847080230713,53600.0
1973-03-20,0.0,5.28125,5.203125,5.25,2.1938133239746094,40000.0
1973-03-21,0.0,5.34375,5.265625,5.28125,2.206871509552002,65600.0
1973-03-22,0.0,5.265625,5.125,5.125,2.141580104827881,69600.0
1973-03-23,0.0,5.140625,5.109375,5.125,2.141580104827881,20000.0
1973-03-26,0.0,5.21875,5.15625,5.1875,2.167696475982666,28800.0
1973-03-27,0.0,5.1875,5.15625,5.171875,2.161167621612549,12000.0
1973-03-28,0.0,5.3125,5.15625,5.3125,2.219930410385132,38400.0
1973-03-29,0.0,5.53125,5.34375,5.53125,2.311340093612671,516000.0
1973-03-30,0.0,5.5,5.4375,5.46875,2.285221815109253,50400.0
1973-04-02,0.0,5.5,5.4375,5.5,2.298280715942383,12000.0
1973-04-03,0.0,5.5625,5.46875,5.5625,2.3243966102600098,53600.0
1973-04-04,0.0,5.609375,5.53125,5.609375,2.3439841270446777,32800.0
1973-04-05,0.0,5.609375,5.546875,5.546875,2.317868947982788,21600.0
1973-04-06,0.0,5.578125,5.375,5.375,2.2460474967956543,79200.0
1973-04-09,0.0,5.375,5.34375,5.375,2.2460474967956543,48000.0
1973-04-10,0.0,5.375,5.296875,5.296875,2.2134029865264893,125600.0
1973-04-11,0.0,5.265625,5.0,5.0,2.0893466472625732,34400.0
1973-04-12,0.0,5.109375,5.015625,5.109375,2.135050058364868,92800.0
1973-04-13,0.0,5.109375,5.078125,5.09375,2.1285207271575928,13600.0
1973-04-16,0.0,5.109375,5.078125,5.078125,2.1219921112060547,26400.0
1973-04-17,0.0,5.09375,5.078125,5.078125,2.1219921112060547,7200.0
1973-04-18,0.0,5.0625,5.0,5.015625,2.0958752632141113,31200.0
1973-04-19,0.0,5.015625,5.0,5.015625,2.0958752632141113,18400.0
1973-04-23,0.0,5.015625,5.0,5.0,2.0893466472625732,29600.0
1973-04-24,0.0,5.03125,5.0,5.0,2.0893466472625732,40800.0
1973-04-25,0.0,4.96875,4.796875,4.796875,2.0044662952423096,52800.0
1973-04-26,0.0,4.75,4.625,4.671875,1.952233076095581,48800.0
1973-04-27,0.0,4.71875,4.6875,4.6875,1.958762288093567,68000.0
1973-04-30,0.0,4.75,4.65625,4.75,1.984879493713379,73600.0
1973-05-01,0.0,4.90625,4.78125,4.875,2.0371124744415283,56800.0
1973-05-02,0.0,4.875,4.859375,4.875,2.0371124744415283,27200.0
1973-05-03,0.0,4.984375,4.859375,4.953125,2.0697576999664307,33600.0
1973-05-04,0.0,5.125,4.984375,5.125,2.141580104827881,56000.0
1973-05-07,0.0,5.09375,5.0,5.09375,2.1285207271575928,51200.0
1973-05-08,0.0,5.09375,5.0625,5.0625,2.1154630184173584,5600.0
1973-05-09,0.0,5.21875,5.09375,5.21875,2.1807544231414795,12800.0
1973-05-10,0.0,5.265625,5.1875,5.1875,2.167696475982666,59200.0
1973-05-11,0.0,5.1875,5.078125,5.078125,2.1219921112060547,61600.0
1973-05-14,0.0,5.0625,5.03125,5.03125,2.102402925491333,27200.0
1973-05-15,0.0,5.0,4.921875,4.921875,2.056699275970459,12000.0
1973-05-16,0.0,4.9375,4.890625,4.890625,2.043642282485962,11200.0
1973-05-17,0.0,4.875,4.78125,4.796875,2.0044662952423096,34400.0
1973-05-18,0.0,4.765625,4.5625,4.5625,1.9065278768539429,18400.0
1973-05-21,0.0,4.5625,4.515625,4.53125,1.8934708833694458,32000.0
1973-05-22,0.0,4.75,4.5625,4.75,1.984879493713379,68000.0
1973-05-23,0.0,4.78125,4.75,4.78125,1.9979372024536133,24000.0
1973-05-24,0.0,4.90625,4.765625,4.90625,2.050171375274658,36000.0
1973-05-25,0.0,5.09375,4.84375,5.09375,2.1285207271575928,56800.0
1973-05-29,0.0,5.09375,5.015625,5.015625,2.0958752632141113,44800.0
1973-05-30,0.0,5.03125,4.9375,4.9375,2.0632286071777344,10400.0
1973-05-31,0.0,4.890625,4.84375,4.84375,2.0240535736083984,20800.0
1973-06-01,0.0,4.96875,4.875,4.875,2.0371124744415283,29600.0
1973-06-04,0.0,4.875,4.84375,4.84375,2.0240535736083984,11200.0
1973-06-05,0.0,4.84375,4.78125,4.796875,2.0044662952423096,67200.0
1973-06-06,0.0,4.8125,4.78125,4.8125,2.010995864868164,8000.0
1973-06-07,0.0,4.921875,4.8125,4.921875,2.056699275970459,20800.0
1973-06-08,0.0,4.96875,4.921875,4.96875,2.076287269592285,43200.0
1973-06-11,0.0,4.9375,4.9375,4.9375,2.0632286071777344,5600.0
