Date,Open,High,Low,Close,Adj Close,Volume
1994-10-31,8.1875,8.3125,8.1875,8.3125,6.632553577423096,1984200.0
1994-11-01,8.3125,8.3125,8.1875,8.25,6.582685947418213,2176400.0
1994-11-02,8.25,8.25,8.1875,8.1875,6.532817840576172,2348200.0
1994-11-03,8.1875,8.25,8.125,8.1875,6.532817840576172,2060800.0
1994-11-04,8.1875,8.25,8.125,8.125,6.482947826385498,2663800.0
1994-11-07,8.0625,8.0625,8.0,8.0625,6.433079242706299,1049400.0
1994-11-08,8.0625,8.0625,7.875,7.875,6.283473014831543,5761000.0
1994-11-09,7.9375,8.0625,7.9375,8.0,6.383209705352783,2480000.0
1994-11-10,8.0,8.0625,8.0,8.0625,6.433079242706299,1956000.0
1994-11-11,8.0625,8.0625,8.0,8.0,6.383209705352783,1300200.0
1994-11-14,7.9375,7.9375,7.875,7.9375,6.333341121673584,1419200.0
1994-11-15,7.9375,7.9375,7.875,7.875,6.283473014831543,3118800.0
1994-11-16,7.875,7.9375,7.875,7.875,6.283473014831543,813400.0
1994-11-17,7.875,7.875,7.75,7.8125,6.233604907989502,1477600.0
1994-11-18,7.8125,7.8125,7.6875,7.75,6.183732509613037,2452600.0
1994-11-21,7.75,7.75,7.5625,7.5625,6.034129619598389,3276000.0
1994-11-22,7.5625,7.625,7.4375,7.4375,5.934391498565674,2725000.0
1994-11-23,7.4375,7.5,7.3125,7.5,5.984259605407715,2634200.0
1994-11-25,7.5,7.5,7.5,7.5,5.984259605407715,640800.0
1994-11-28,7.5,7.5625,7.4375,7.5625,6.034129619598389,1583400.0
1994-11-29,7.5625,7.5625,7.4375,7.5,5.984259605407715,1056400.0
1994-11-30,7.5,7.5,7.4375,7.5,5.984259605407715,1086800.0
1994-12-01,7.5,7.5,7.4375,7.4375,5.934391498565674,979000.0
1994-12-02,7.4375,7.5,7.375,7.5,5.984259605407715,1257200.0
1994-12-05,7.5,7.5625,7.4375,7.4375,5.934391498565674,1071200.0
1994-12-06,7.4375,7.4375,7.375,7.4375,5.934391498565674,1819200.0
1994-12-07,7.4375,7.4375,7.3125,7.375,5.884521484375,1223400.0
1994-12-08,7.375,7.4375,7.375,7.375,5.884521484375,1178400.0
1994-12-09,7.375,7.375,7.3125,7.375,5.884521484375,1682000.0
1994-12-12,7.375,7.4375,7.3125,7.375,5.884521484375,1011400.0
1994-12-13,7.375,7.5,7.375,7.4375,5.934391498565674,1555200.0
1994-12-14,7.4375,7.5,7.4375,7.5,5.984259605407715,1351600.0
1994-12-15,7.5,7.5625,7.375,7.5,5.984259605407715,2600400.0
1994-12-16,7.5,7.5625,7.4375,7.5,5.984259605407715,3428800.0
1994-12-19,7.5,7.625,7.375,7.5625,6.034129619598389,3590000.0
1994-12-20,7.5625,7.625,7.5625,7.625,6.083996295928955,1464200.0
1994-12-21,7.625,7.6875,7.625,7.625,6.083996295928955,3717600.0
1994-12-22,7.625,7.75,7.625,7.75,6.183732509613037,1467200.0
1994-12-23,7.75,7.75,7.625,7.625,6.083996295928955,1012000.0
1994-12-27,7.625,7.75,7.625,7.75,6.183732509613037,3242800.0
1994-12-28,7.75,7.75,7.625,7.75,6.183732509613037,1814400.0
1994-12-29,7.75,7.8125,7.75,7.8125,6.233604907989502,1436200.0
1994-12-30,7.8125,7.8125,7.6875,7.8125,6.233604907989502,1365600.0
1995-01-03,7.8125,7.8125,7.6875,7.75,6.183732509613037,1064200.0
1995-01-04,7.75,7.8125,7.625,7.6875,6.133863925933838,1751600.0
1995-01-05,7.6875,7.75,7.625,7.75,6.183732509613037,1600200.0
1995-01-06,7.75,7.8125,7.6875,7.6875,6.133863925933838,2230600.0
1995-01-09,7.6875,7.75,7.625,7.6875,6.133863925933838,2108800.0
1995-01-10,7.6875,7.75,7.6875,7.6875,6.133863925933838,1580600.0
1995-01-11,7.6875,7.6875,7.5625,7.625,6.083996295928955,3488600.0
1995-01-12,7.5625,7.5625,7.5,7.5,5.984259605407715,1875600.0
1995-01-13,7.5625,7.5625,7.5625,7.5625,6.034129619598389,2206600.0
1995-01-16,7.5625,7.625,7.5625,7.625,6.083996295928955,3502000.0
1995-01-17,7.625,7.6875,7.625,7.625,6.083996295928955,1322800.0
1995-01-18,7.625,7.625,7.5625,7.5625,6.034129619598389,2150400.0
1995-01-19,7.5,7.5,7.4375,7.5,5.984259605407715,3214600.0
1995-01-20,7.5,7.5625,7.4375,7.5,5.984259605407715,2263800.0
1995-01-23,7.5,7.5625,7.4375,7.5625,6.034129619598389,4176200.0
1995-01-24,7.5625,7.625,7.5,7.5625,6.034129619598389,1362800.0
1995-01-25,7.5625,7.625,7.5625,7.625,6.083996295928955,2840000.0
1995-01-26,7.125,7.125,6.875,7.0625,5.635176658630371,14524000.0
1995-01-27,7.0625,7.125,6.9375,6.9375,5.5354413986206055,7288800.0
1995-01-30,6.9375,7.0,6.9375,7.0,5.585309028625488,3881000.0
1995-01-31,7.0,7.0625,7.0,7.0625,5.635176658630371,2975200.0
1995-02-01,7.0625,7.0625,6.875,6.9375,5.5354413986206055,2668000.0
1995-02-02,6.9375,7.0,6.875,6.9375,5.5354413986206055,1846800.0
1995-02-03,6.9375,7.0625,6.9375,7.0625,5.635176658630371,3790800.0
1995-02-06,7.0625,7.125,7.0,7.0625,5.635176658630371,2963200.0
1995-02-07,7.125,7.1875,7.125,7.1875,5.734915733337402,2994800.0
1995-02-08,7.1875,7.3125,7.125,7.1875,5.734915733337402,3764800.0
1995-02-09,7.1875,7.25,7.0625,7.25,5.784781455993652,1978400.0
1995-02-10,7.25,7.25,7.1875,7.1875,5.734915733337402,1724200.0
1995-02-13,7.1875,7.1875,7.125,7.125,5.685046195983887,1560000.0
1995-02-14,7.125,7.1875,7.0625,7.125,5.685046195983887,1967200.0
1995-02-15,7.125,7.1875,7.125,7.1875,5.734915733337402,1822800.0
1995-02-16,7.1875,7.1875,7.125,7.1875,5.734915733337402,1477000.0
1995-02-17,7.1875,7.3125,7.1875,7.25,5.784781455993652,3836600.0
1995-02-21,7.25,7.3125,7.1875,7.1875,5.734915733337402,2169400.0
1995-02-22,7.1875,7.1875,7.125,7.1875,5.734915733337402,1879800.0
1995-02-23,7.1875,7.25,7.125,7.1875,5.734915733337402,1599600.0
1995-02-24,7.1875,7.25,7.1875,7.25,5.784781455993652,1129800.0
1995-02-27,7.25,7.25,7.1875,7.25,5.784781455993652,910000.0
1995-02-28,7.25,7.3125,7.1875,7.3125,5.834651947021484,2920200.0
1995-03-01,7.3125,7.4375,7.3125,7.4375,5.934391498565674,8590400.0
1995-03-02,7.4375,7.5,7.375,7.5,5.984259605407715,2482800.0
1995-03-03,7.5,7.5625,7.4375,7.5,5.984259605407715,3257600.0
1995-03-06,7.5,7.5,7.4375,7.4375,5.934391498565674,1734000.0
1995-03-07,7.4375,7.4375,7.25,7.4375,5.934391498565674,1985600.0
1995-03-08,7.4375,7.5,7.4375,7.4375,5.934391498565674,882400.0
1995-03-09,7.4375,7.4375,7.375,7.4375,5.934391498565674,817000.0
1995-03-10,7.4375,7.5,7.375,7.5,5.984259605407715,3922600.0
1995-03-13,7.5,7.5625,7.4375,7.5625,6.034129619598389,2940000.0
1995-03-14,7.5625,7.625,7.5625,7.625,6.083996295928955,4782600.0
1995-03-15,7.625,7.625,7.5,7.5625,6.034129619598389,1994000.0
1995-03-16,7.5625,7.5625,7.5,7.5625,6.034129619598389,1515600.0
1995-03-17,7.5625,7.5625,7.5,7.5,5.984259605407715,3842200.0
1995-03-20,7.5,7.5625,7.5,7.5625,6.034129619598389,979000.0
1995-03-21,7.5625,7.5625,7.5,7.5,5.984259605407715,1926400.0
1995-03-22,7.5,7.5,7.4375,7.5,5.984259605407715,1438200.0
1995-03-23,7.5,7.5625,7.4375,7.5625,6.034129619598389,3240000.0
1995-03-24,7.5625,7.5625,7.5,7.5,5.984259605407715,2071400.0
1995-03-27,7.5,7.5625,7.4375,7.4375,5.934391498565674,1257800.0
1995-03-28,7.4375,7.5,7.4375,7.4375,5.934391498565674,1196600.0
1995-03-29,7.4375,7.5,7.375,7.4375,5.934391498565674,2455400.0
1995-03-30,7.4375,7.5,7.4375,7.5,5.984259605407715,1952400.0
1995-03-31,7.4375,7.4375,7.375,7.4375,5.934391498565674,1996000.0
1995-04-03,7.4375,7.5,7.4375,7.4375,5.934391498565674,1124800.0
1995-04-04,7.5,7.625,7.5,7.625,6.083996295928955,2177800.0
1995-04-05,7.625,7.625,7.5,7.5,5.984259605407715,2121400.0
1995-04-06,7.5,7.5625,7.5,7.5,5.984259605407715,1588200.0
1995-04-07,7.5,7.625,7.5,7.625,6.083996295928955,1843200.0
1995-04-10,7.625,7.625,7.5625,7.5625,6.034129619598389,793000.0
1995-04-11,7.5625,7.625,7.4375,7.5,5.984259605407715,2031400.0
1995-04-12,7.5,7.5625,7.4375,7.5,5.984259605407715,1231800.0
1995-04-13,7.5,7.5625,7.4375,7.4375,5.934391498565674,1084600.0
1995-04-17,7.4375,7.5625,7.375,7.4375,5.934391498565674,1362200.0
1995-04-18,7.4375,7.5625,7.375,7.375,5.884521484375,1723400.0
1995-04-19,7.375,7.4375,7.125,7.1875,5.734915733337402,3671000.0
1995-04-20,7.1875,7.25,7.1875,7.1875,5.734915733337402,3837400.0
1995-04-21,7.1875,7.375,7.1875,7.3125,5.834651947021484,3236400.0
1995-04-24,7.3125,7.4375,7.3125,7.4375,5.934391498565674,1803800.0
1995-04-25,7.375,7.375,7.3125,7.375,5.884521484375,1702400.0
1995-04-26,7.375,7.4375,7.3125,7.4375,5.934391498565674,3831000.0
1995-04-27,7.375,7.375,7.3125,7.375,5.884521484375,2932200.0
1995-04-28,7.375,7.375,7.3125,7.375,5.884521484375,2072800.0
1995-05-01,7.375,7.4375,7.3125,7.375,5.884521484375,2258200.0
1995-05-02,7.375,7.4375,7.3125,7.375,5.884521484375,2088400.0
1995-05-03,7.375,7.4375,7.375,7.4375,5.934391498565674,1419200.0
1995-05-04,7.4375,7.5,7.4375,7.5,5.984259605407715,2292000.0
1995-05-05,7.5,7.5625,7.4375,7.5,5.984259605407715,1889800.0
1995-05-08,7.5,7.625,7.5,7.625,6.083996295928955,2458200.0
1995-05-09,7.625,7.6875,7.625,7.625,6.083996295928955,1856000.0
1995-05-10,7.625,7.6875,7.625,7.6875,6.133863925933838,1803000.0
1995-05-11,7.6875,7.875,7.6875,7.8125,6.233604907989502,2626400.0
1995-05-12,7.8125,7.8125,7.75,7.8125,6.233604907989502,1720600.0
1995-05-15,7.6875,7.6875,7.625,7.625,6.083996295928955,1808000.0
1995-05-16,7.625,7.6875,7.625,7.6875,6.133863925933838,1727000.0
1995-05-17,7.6875,7.6875,7.625,7.6875,6.133863925933838,4402200.0
1995-05-18,7.6875,7.6875,7.5625,7.5625,6.034129619598389,2615200.0
1995-05-19,7.5625,7.5625,7.5,7.5625,6.034129619598389,2234200.0
1995-05-22,7.5625,7.625,7.5625,7.5625,6.034129619598389,2023600.0
1995-05-23,7.625,7.6875,7.625,7.6875,6.133863925933838,1925600.0
1995-05-24,7.6875,7.6875,7.625,7.625,6.083996295928955,2088400.0
1995-05-25,7.5625,7.5625,7.5,7.5625,6.034129619598389,1848200.0
