Date,Open,High,Low,Close,Adj Close,Volume
1993-02-23,8.0,8.125,7.65625,7.75,3.834050416946411,40594800.0
1993-02-24,7.875,8.0625,7.78125,7.96875,3.942267656326294,9426400.0
1993-02-25,8.0,8.15625,7.96875,8.15625,4.035027027130127,5229200.0
1993-02-26,8.15625,8.28125,8.03125,8.28125,4.096865177154541,2761200.0
1993-03-01,8.1875,8.21875,8.0,8.0,3.9577300548553467,3014400.0
1993-03-02,8.0625,8.25,8.03125,8.21875,4.06594705581665,3022800.0
1993-03-03,8.1875,8.3125,8.125,8.1875,4.050487041473389,2808800.0
1993-03-04,8.15625,8.25,8.15625,8.15625,4.035027027130127,1783600.0
1993-03-05,8.125,8.34375,8.0,8.3125,4.112329006195068,3868800.0
1993-03-08,8.25,8.3125,8.1875,8.28125,4.096865177154541,2516000.0
1993-03-09,8.25,8.625,8.25,8.53125,4.220544338226318,2449200.0
1993-03-10,8.46875,8.90625,8.4375,8.875,4.390605449676514,3192800.0
1993-03-11,8.96875,8.96875,8.78125,8.875,4.390605449676514,1276400.0
1993-03-12,8.8125,9.0625,8.5,9.03125,4.4679036140441895,2958800.0
1993-03-15,9.0,9.0,8.8125,8.875,4.390605449676514,1858400.0
1993-03-16,8.8125,8.90625,8.65625,8.6875,4.297842979431152,2182000.0
1993-03-17,8.6875,8.78125,8.59375,8.78125,4.344222068786621,2413600.0
1993-03-18,8.75,9.03125,8.75,9.0,4.452443599700928,1765200.0
1993-03-19,9.0625,9.0625,8.90625,8.90625,4.406066417694092,2397600.0
1993-03-22,8.9375,8.9375,8.78125,8.875,4.390605449676514,729200.0
1993-03-23,8.875,8.875,8.6875,8.6875,4.297842979431152,924000.0
1993-03-24,8.6875,8.6875,8.34375,8.59375,4.251466274261475,1787600.0
1993-03-25,8.53125,8.59375,8.40625,8.59375,4.251466274261475,1080400.0
1993-03-26,8.875,9.15625,8.84375,9.15625,4.529741287231445,2376800.0
1993-03-29,9.09375,9.25,8.9375,9.25,4.576122760772705,1273600.0
1993-03-30,9.375,9.59375,9.28125,9.59375,4.746181488037109,1463600.0
1993-03-31,9.625,9.8125,9.5625,9.59375,4.746181488037109,1856000.0
1993-04-01,9.46875,9.5,9.1875,9.25,4.576122760772705,1410000.0
1993-04-02,9.125,9.28125,8.90625,8.90625,4.406066417694092,1338800.0
1993-04-05,8.875,9.09375,8.875,9.0625,4.483364105224609,873200.0
1993-04-06,9.09375,9.125,8.9375,8.9375,4.4215240478515625,763200.0
1993-04-07,8.90625,9.09375,8.90625,9.0625,4.483364105224609,240400.0
1993-04-08,9.0625,9.0625,9.0,9.03125,4.4679036140441895,304000.0
1993-04-12,9.03125,9.25,9.03125,9.25,4.576122760772705,217600.0
1993-04-13,9.375,9.59375,9.375,9.53125,4.7152628898620605,937600.0
1993-04-14,9.53125,9.8125,9.53125,9.78125,4.838940143585205,689600.0
1993-04-15,9.65625,9.65625,9.25,9.375,4.637959003448486,1319600.0
1993-04-16,9.4375,9.5,9.3125,9.34375,4.622501850128174,1452400.0
1993-04-19,9.28125,9.34375,9.09375,9.125,4.514282703399658,861600.0
1993-04-20,9.21875,9.28125,8.65625,8.84375,4.375145435333252,2764000.0
1993-04-21,8.84375,8.96875,8.71875,8.71875,4.313305377960205,1372800.0
1993-04-22,8.71875,8.875,8.6875,8.71875,4.313305377960205,1387600.0
1993-04-23,8.6875,8.71875,8.5,8.59375,4.251466274261475,660400.0
1993-04-26,8.625,8.6875,8.3125,8.40625,4.1587042808532715,1847200.0
1993-04-27,8.3125,8.5,8.15625,8.5,4.2050862312316895,1674000.0
1993-04-28,8.5625,8.6875,8.46875,8.65625,4.282384395599365,726800.0
1993-04-29,8.65625,8.71875,8.625,8.625,4.2669243812561035,228800.0
1993-04-30,8.65625,9.75,8.65625,9.6875,4.792561054229736,3105600.0
1993-05-03,9.5,9.5,9.125,9.1875,4.545204162597656,2001200.0
1993-05-04,9.25,9.3125,9.15625,9.25,4.576122760772705,826000.0
1993-05-05,9.21875,9.21875,9.125,9.15625,4.529741287231445,512000.0
1993-05-06,9.15625,9.15625,9.0,9.09375,4.498823165893555,183200.0
1993-05-07,9.125,9.1875,9.09375,9.125,4.514282703399658,245200.0
1993-05-10,9.15625,9.3125,9.15625,9.25,4.576122760772705,708800.0
1993-05-11,9.25,9.25,9.125,9.21875,4.560662269592285,568800.0
1993-05-12,9.21875,9.28125,9.15625,9.21875,4.560662269592285,258000.0
1993-05-13,9.15625,9.15625,9.0,9.0,4.452443599700928,163200.0
1993-05-14,8.96875,8.96875,8.59375,8.75,4.32876443862915,848000.0
1993-05-17,8.75,8.96875,8.71875,8.90625,4.406066417694092,382000.0
1993-05-18,8.875,8.875,8.71875,8.8125,4.359682083129883,883600.0
1993-05-19,8.78125,8.96875,8.78125,8.90625,4.406066417694092,514800.0
1993-05-20,8.96875,8.96875,8.6875,8.75,4.32876443862915,936800.0
1993-05-21,8.6875,8.6875,8.46875,8.5,4.2050862312316895,834000.0
1993-05-24,8.46875,8.65625,8.4375,8.65625,4.282384395599365,262400.0
1993-05-25,8.65625,8.6875,8.5625,8.625,4.279284477233887,662400.0
1993-05-26,8.625,9.1875,8.625,9.15625,4.542863368988037,659200.0
1993-05-27,9.125,9.21875,8.75,8.78125,4.356803894042969,1011600.0
1993-05-28,8.75,8.75,8.53125,8.59375,4.2637810707092285,1338800.0
1993-06-01,8.59375,8.6875,8.59375,8.65625,4.29478645324707,330400.0
1993-06-02,8.65625,8.75,8.65625,8.71875,4.325798034667969,295600.0
1993-06-03,8.75,8.75,8.5625,8.5625,4.2482733726501465,178800.0
1993-06-04,8.5,8.625,8.46875,8.46875,4.201763153076172,211200.0
1993-06-07,8.46875,8.5,8.40625,8.46875,4.201763153076172,314400.0
1993-06-08,8.46875,8.5,8.4375,8.46875,4.201763153076172,295200.0
1993-06-09,8.46875,8.59375,8.46875,8.59375,4.2637810707092285,341200.0
1993-06-10,8.59375,8.59375,8.46875,8.5,4.217265605926514,166000.0
1993-06-11,8.53125,8.59375,8.5,8.5625,4.2482733726501465,148000.0
1993-06-14,8.5625,8.6875,8.5625,8.59375,4.2637810707092285,449200.0
1993-06-15,8.59375,8.59375,8.4375,8.5,4.217265605926514,208800.0
1993-06-16,8.5,8.8125,8.5,8.75,4.341300964355469,1311600.0
1993-06-17,8.71875,8.84375,8.71875,8.78125,4.356803894042969,305200.0
1993-06-18,8.78125,8.78125,8.53125,8.53125,4.232770919799805,1043600.0
1993-06-21,8.46875,8.5,8.1875,8.46875,4.201763153076172,2092400.0
1993-06-22,8.46875,8.46875,8.21875,8.46875,4.201763153076172,1855600.0
1993-06-23,8.46875,8.5,8.40625,8.46875,4.201763153076172,1940400.0
1993-06-24,8.71875,8.84375,8.625,8.78125,4.356803894042969,2887600.0
1993-06-25,8.78125,9.09375,8.78125,9.0625,4.496348857879639,1870400.0
1993-06-28,9.0625,9.75,9.0625,9.6875,4.806443691253662,3107600.0
1993-06-29,9.5,9.53125,9.25,9.3125,4.620386600494385,2186800.0
1993-06-30,9.28125,9.375,9.21875,9.375,4.651392459869385,4777600.0
1993-07-01,9.375,9.375,9.21875,9.25,4.5893778800964355,2097200.0
1993-07-02,9.25,9.34375,9.21875,9.3125,4.620386600494385,932800.0
1993-07-06,9.25,9.28125,9.1875,9.21875,4.573873519897461,1907600.0
1993-07-07,9.1875,9.21875,9.09375,9.21875,4.573873519897461,1842000.0
1993-07-08,9.21875,9.3125,9.15625,9.1875,4.558367729187012,2947200.0
1993-07-09,9.15625,9.1875,9.03125,9.1875,4.558367729187012,2786000.0
1993-07-12,9.1875,9.6875,9.15625,9.6875,4.806443691253662,7127600.0
1993-07-13,9.5625,9.5625,9.21875,9.21875,4.573873519897461,10491600.0
1993-07-14,9.21875,9.21875,8.84375,8.90625,4.41882848739624,9687600.0
1993-07-15,8.6875,9.0,8.65625,8.96875,4.449836254119873,9809200.0
1993-07-16,8.96875,9.03125,8.8125,8.9375,4.434328556060791,5910800.0
1993-07-19,8.9375,9.125,8.9375,9.09375,4.511853218078613,3670400.0
1993-07-20,9.3125,9.625,9.15625,9.5,4.713412761688232,10484800.0
1993-07-21,9.53125,9.65625,9.40625,9.65625,4.790937423706055,4429200.0
1993-07-22,9.59375,9.59375,9.40625,9.4375,4.682405948638916,4458800.0
1993-07-23,9.375,9.40625,9.28125,9.34375,4.635891914367676,2494800.0
1993-07-26,9.3125,9.8125,9.3125,9.625,4.7754292488098145,5059600.0
1993-07-27,9.59375,9.59375,9.40625,9.46875,4.697909355163574,2681600.0
1993-07-28,9.4375,9.5625,9.4375,9.4375,4.682405948638916,2142400.0
1993-07-29,9.4375,9.5625,9.125,9.3125,4.620386600494385,6696400.0
1993-07-30,9.21875,9.3125,9.1875,9.3125,4.620386600494385,2814800.0
1993-08-02,9.28125,9.3125,9.15625,9.25,4.5893778800964355,3802400.0
1993-08-03,9.25,9.28125,9.15625,9.15625,4.542863368988037,2195600.0
1993-08-04,9.15625,9.3125,9.125,9.21875,4.573873519897461,1874000.0
1993-08-05,9.25,9.3125,9.125,9.15625,4.542863368988037,3159600.0
1993-08-06,9.1875,9.46875,9.15625,9.46875,4.697909355163574,1455200.0
1993-08-09,9.5,9.65625,9.46875,9.625,4.7754292488098145,3102400.0
1993-08-10,9.625,9.65625,9.46875,9.5625,4.744424819946289,1909600.0
1993-08-11,9.5,9.59375,9.3125,9.3125,4.620386600494385,1448800.0
1993-08-12,9.3125,9.4375,9.25,9.3125,4.620386600494385,1400400.0
1993-08-13,9.3125,9.375,9.125,9.21875,4.573873519897461,2741600.0
1993-08-16,9.25,9.28125,9.15625,9.1875,4.558367729187012,4885600.0
1993-08-17,9.21875,9.28125,9.125,9.125,4.5273590087890625,2332000.0
1993-08-18,9.1875,9.375,9.1875,9.21875,4.573873519897461,3104000.0
1993-08-19,9.25,9.28125,9.15625,9.15625,4.542863368988037,1936400.0
1993-08-20,9.15625,9.34375,9.15625,9.25,4.5893778800964355,3114400.0
1993-08-23,9.25,9.40625,9.21875,9.375,4.651392459869385,3746400.0
1993-08-24,9.375,9.90625,9.375,9.84375,4.883965492248535,6818000.0
1993-08-25,9.8125,10.0625,9.625,9.78125,4.852956771850586,6425200.0
1993-08-26,9.6875,9.875,9.5625,9.75,4.849845886230469,2404400.0
1993-08-27,9.65625,9.65625,9.46875,9.5625,4.756580829620361,2082000.0
1993-08-30,9.5,10.03125,9.5,9.875,4.912024021148682,3517200.0
1993-08-31,9.875,9.96875,9.6875,9.71875,4.834301948547363,2750800.0
1993-09-01,9.625,9.90625,9.53125,9.84375,4.896478176116943,4567200.0
1993-09-02,9.875,10.0,9.84375,9.96875,4.9586567878723145,3895200.0
