Date,Open,High,Low,Close,Adj Close,Volume
2000-01-28,12.0,12.1875,12.0,12.0,6.365255355834961,11192000.0
2000-01-31,12.0,12.0625,12.0,12.0625,6.3984055519104,1880900.0
2000-02-01,12.0,12.0625,12.0,12.0,6.365255355834961,367100.0
2000-02-02,12.0,12.0625,12.0,12.0625,6.3984055519104,697400.0
2000-02-03,12.0,12.0625,12.0,12.0,6.365255355834961,579800.0
2000-02-04,12.0,12.0625,11.25,11.375,6.033729553222656,1681900.0
2000-02-07,11.125,11.125,10.5,10.8125,5.735358715057373,927200.0
2000-02-08,10.75,10.875,9.75,9.875,5.238073348999023,795400.0
2000-02-09,9.875,10.25,9.75,10.125,5.370683193206787,1710100.0
2000-02-10,10.5,11.25,10.4375,10.625,5.63590145111084,571500.0
2000-02-11,10.75,10.9375,10.0,10.0625,5.33752965927124,1062000.0
2000-02-14,10.1875,10.3125,9.75,9.8125,5.204922676086426,289000.0
2000-02-15,10.0,10.625,9.9375,10.4375,5.536443710327148,541400.0
2000-02-16,10.5625,10.625,10.25,10.5625,5.602749347686768,360700.0
2000-02-17,10.875,10.875,10.25,10.375,5.503291606903076,291600.0
2000-02-18,10.5,10.75,10.3125,10.5,5.569596767425537,330700.0
2000-02-22,10.25,10.625,9.875,10.3125,5.4701385498046875,314500.0
2000-02-23,9.9375,10.3125,9.8125,10.125,5.370683193206787,494300.0
2000-02-24,10.125,10.3125,9.875,9.9375,5.271225929260254,919900.0
2000-02-25,10.3125,10.625,10.0,10.4375,5.536443710327148,1095500.0
2000-02-28,10.25,10.3125,10.0,10.125,5.370683193206787,366800.0
2000-02-29,10.125,11.25,10.0,10.875,5.768511772155762,1652500.0
2000-03-01,10.875,11.25,10.875,11.0,5.834814548492432,266700.0
2000-03-02,10.875,11.9375,10.8125,11.5,6.100031852722168,890300.0
2000-03-03,11.5,11.5,10.875,10.9375,5.801661491394043,160300.0
2000-03-06,10.5,10.8125,10.375,10.75,5.702205181121826,242800.0
2000-03-07,10.625,10.75,10.0625,10.25,5.436986923217773,393500.0
2000-03-08,10.1875,10.5,9.875,10.375,5.503291606903076,424200.0
