Date,Open,High,Low,Close,Adj Close,Volume
1997-11-21,23.5,23.5,22.75,23.0,8.35317611694336,3821400.0
1997-11-24,23.0,23.0,22.25,22.75,8.262382507324219,541600.0
1997-11-25,22.875,23.0,22.6875,23.0,8.35317611694336,425000.0
1997-11-26,23.0,23.0,22.75,22.75,8.262382507324219,165200.0
1997-11-28,22.75,23.0,22.75,23.0,8.35317611694336,60500.0
1997-12-01,23.0625,23.125,23.0,23.0625,8.375873565673828,120300.0
1997-12-02,23.125,23.125,22.875,23.0,8.35317611694336,164200.0
1997-12-03,23.0625,23.0625,22.9375,23.0,8.35317611694336,540000.0
1997-12-04,23.0,23.0625,23.0,23.0,8.35317611694336,43800.0
1997-12-05,22.875,23.375,22.875,23.0625,8.375873565673828,147500.0
1997-12-08,23.0,23.25,23.0,23.1875,8.42127513885498,74900.0
1997-12-09,23.125,23.1875,23.0,23.1875,8.42127513885498,61000.0
1997-12-10,23.125,23.25,23.0625,23.0625,8.375873565673828,104500.0
1997-12-11,23.0,23.125,23.0,23.0625,8.375873565673828,153600.0
1997-12-12,23.0625,23.1875,23.0625,23.1875,8.42127513885498,59900.0
1997-12-15,23.125,23.1875,23.0625,23.1875,8.42127513885498,24400.0
1997-12-16,23.1875,23.75,23.1875,23.625,8.630036354064941,107900.0
1997-12-17,23.75,24.25,23.6875,24.1875,8.835514068603516,63900.0
1997-12-18,24.125,24.25,24.125,24.25,8.858345985412598,35700.0
1997-12-19,24.25,24.25,23.75,23.875,8.721366882324219,134400.0
1997-12-22,23.9375,24.125,23.875,24.0,8.767021179199219,34400.0
1997-12-23,24.0,24.1875,24.0,24.0,8.767021179199219,88500.0
1997-12-24,23.9375,24.0,23.8125,24.0,8.767021179199219,63300.0
1997-12-26,23.875,23.875,23.5625,23.6875,8.652873039245605,34600.0
1997-12-29,23.875,24.0625,23.75,23.8125,8.698529243469238,159600.0
1997-12-30,24.0,24.3125,23.6875,24.3125,8.88117504119873,52400.0
1997-12-31,24.375,25.125,24.375,25.125,9.177976608276367,215700.0
1998-01-02,25.0,25.0,24.625,24.875,9.086654663085938,52000.0
1998-01-05,24.75,24.9375,24.625,24.625,8.995328903198242,42300.0
1998-01-06,24.75,24.75,24.625,24.6875,9.01816177368164,26900.0
1998-01-07,24.6875,24.75,24.4375,24.625,8.995328903198242,49500.0
1998-01-08,24.5,24.75,24.375,24.5625,8.972500801086426,95700.0
1998-01-09,24.5,24.5,24.125,24.375,8.904006004333496,37800.0
1998-01-12,24.125,24.4375,23.75,24.4375,8.926836967468262,24500.0
1998-01-13,24.5,24.625,24.4375,24.5625,8.972500801086426,190300.0
1998-01-14,24.5,24.75,24.25,24.75,9.040992736816406,201800.0
1998-01-15,24.75,24.75,24.5,24.5,8.949666023254395,39200.0
1998-01-16,24.5625,24.5625,24.375,24.5,8.949666023254395,13600.0
1998-01-20,24.625,24.75,24.5625,24.625,8.995328903198242,63200.0
1998-01-21,24.6875,24.875,24.5625,24.75,9.040992736816406,90400.0
1998-01-22,24.875,24.875,24.625,24.6875,9.01816177368164,99600.0
1998-01-23,24.75,24.75,24.4375,24.4375,8.926836967468262,11200.0
1998-01-26,24.3125,24.375,24.125,24.125,8.81268310546875,50500.0
1998-01-27,24.25,24.5,24.0,24.25,8.858345985412598,17300.0
1998-01-28,24.125,24.125,23.875,24.0,8.767021179199219,68700.0
1998-01-29,23.75,24.125,23.75,24.0,8.767021179199219,67700.0
1998-01-30,24.0,24.5,24.0,24.5,8.949666023254395,33000.0
1998-02-02,24.5,24.75,24.4375,24.75,9.040992736816406,31000.0
1998-02-03,24.625,24.75,24.5,24.5,8.949666023254395,18300.0
1998-02-04,24.5625,24.5625,24.375,24.375,8.904006004333496,29200.0
1998-02-05,24.375,24.625,24.375,24.5,8.949666023254395,10900.0
1998-02-06,24.5,24.5,24.125,24.5,8.949666023254395,129200.0
1998-02-09,24.1875,24.3125,23.9375,24.3125,8.88117504119873,101100.0
1998-02-10,24.375,24.625,24.3125,24.625,8.995328903198242,35000.0
1998-02-11,24.625,24.625,24.4375,24.625,8.995328903198242,40400.0
1998-02-12,24.5,24.625,24.3125,24.5,8.949666023254395,34500.0
1998-02-13,24.5625,24.625,24.375,24.5,8.949666023254395,73100.0
1998-02-17,24.625,24.8125,24.5,24.8125,9.063827514648438,110500.0
1998-02-18,24.6875,24.6875,23.875,24.125,8.81268310546875,85500.0
1998-02-19,24.25,24.25,24.0,24.0,8.767021179199219,7900.0
1998-02-20,24.0,24.375,24.0,24.1875,8.835514068603516,82700.0
1998-02-23,24.125,24.25,24.0,24.0625,8.789852142333984,26300.0
1998-02-24,24.0625,24.1875,23.875,23.875,8.721366882324219,8700.0
1998-02-25,23.875,23.9375,23.75,23.75,8.675698280334473,45600.0
1998-02-26,23.75,23.875,23.625,23.625,8.630036354064941,21300.0
1998-02-27,23.625,23.8125,23.5,23.5,8.584375381469727,42700.0
1998-03-02,23.75,23.75,23.4375,23.4375,8.56155014038086,102800.0
1998-03-03,23.4375,23.6875,23.4375,23.5625,8.60720443725586,24500.0
1998-03-04,23.625,23.625,23.375,23.375,8.538717269897461,108100.0
1998-03-05,23.375,23.5,23.375,23.4375,8.56155014038086,43100.0
1998-03-06,23.4375,23.8125,23.4375,23.5,8.584375381469727,17400.0
1998-03-09,23.5,24.1875,23.5,24.0,8.767021179199219,105300.0
1998-03-10,24.125,24.25,24.0,24.0,8.767021179199219,89800.0
1998-03-11,24.0,24.1875,24.0,24.1875,8.835514068603516,8200.0
1998-03-12,24.1875,24.1875,24.0,24.0,8.767021179199219,103000.0
1998-03-13,23.8125,24.0,23.8125,23.875,8.721366882324219,438900.0
1998-03-16,23.625,23.625,23.25,23.5625,8.732290267944336,16000.0
1998-03-17,23.4375,23.5625,23.375,23.5,8.709131240844727,15300.0
