Date,Open,High,Low,Close,Adj Close,Volume
1975-11-17,0.0,2.625,2.625,2.625,0.7451659440994263,4000.0
1975-11-18,0.0,2.5625,2.5625,2.5625,0.7274237275123596,39200.0
1975-11-19,0.0,2.53125,2.53125,2.53125,0.7185522317886353,22400.0
1975-11-20,0.0,2.46875,2.46875,2.46875,0.7008104920387268,24800.0
1975-11-21,0.0,2.5,2.5,2.5,0.7096813321113586,22400.0
1975-11-24,0.0,2.46875,2.46875,2.46875,0.7008104920387268,5600.0
1975-11-25,0.0,2.46875,2.46875,2.46875,0.7008104920387268,24000.0
1975-11-26,0.0,2.40625,2.40625,2.40625,0.683068573474884,35200.0
1975-11-28,0.0,2.375,2.375,2.375,0.6741973161697388,19200.0
1975-12-01,0.0,2.375,2.375,2.375,0.6741973161697388,7200.0
1975-12-02,0.0,2.3125,2.3125,2.3125,0.6564555168151855,24000.0
1975-12-03,0.0,2.21875,2.21875,2.21875,0.6298424005508423,40800.0
1975-12-04,0.0,2.21875,2.21875,2.21875,0.6298424005508423,16000.0
1975-12-05,0.0,2.15625,2.15625,2.15625,0.6121004223823547,36000.0
1975-12-08,0.0,2.15625,2.15625,2.15625,0.6121004223823547,37600.0
1975-12-09,0.0,2.1875,2.1875,2.1875,0.6209714412689209,64000.0
1975-12-10,0.0,2.1875,2.1875,2.1875,0.6209714412689209,22400.0
1975-12-11,0.0,2.1875,2.1875,2.1875,0.6209714412689209,15200.0
1975-12-12,0.0,2.25,2.25,2.25,0.6387133598327637,119200.0
1975-12-15,0.0,2.21875,2.21875,2.21875,0.6298424005508423,45600.0
1975-12-16,0.0,2.21875,2.21875,2.21875,0.6298424005508423,53600.0
1975-12-17,0.0,2.25,2.25,2.25,0.6387133598327637,47200.0
1975-12-18,0.0,2.28125,2.28125,2.28125,0.6475844979286194,26400.0
1975-12-19,0.0,2.28125,2.28125,2.28125,0.6475844979286194,8000.0
1975-12-22,0.0,2.28125,2.28125,2.28125,0.6475844979286194,24800.0
1975-12-23,0.0,2.28125,2.28125,2.28125,0.6475844979286194,52000.0
1975-12-24,0.0,2.28125,2.28125,2.28125,0.6475844979286194,8800.0
1975-12-26,0.0,2.34375,2.34375,2.34375,0.6653261184692383,12800.0
1975-12-29,0.0,2.34375,2.34375,2.34375,0.6653261184692383,8800.0
1975-12-30,0.0,2.34375,2.34375,2.34375,0.6653261184692383,20000.0
1975-12-31,0.0,2.34375,2.34375,2.34375,0.6653261184692383,12000.0
1976-01-02,0.0,2.3125,2.3125,2.3125,0.6564555168151855,4800.0
1976-01-05,0.0,2.375,2.375,2.375,0.6741973161697388,27200.0
1976-01-06,0.0,2.53125,2.53125,2.53125,0.7185522317886353,65600.0
1976-01-07,0.0,2.53125,2.53125,2.53125,0.7185522317886353,25600.0
1976-01-08,0.0,2.5625,2.5625,2.5625,0.7274237275123596,13600.0
1976-01-09,0.0,2.53125,2.53125,2.53125,0.7185522317886353,24800.0
1976-01-12,0.0,2.5625,2.5625,2.5625,0.7274237275123596,35200.0
1976-01-13,0.0,2.625,2.625,2.625,0.7451659440994263,23200.0
1976-01-14,0.0,2.75,2.75,2.75,0.7806499004364014,50400.0
1976-01-15,0.0,2.6875,2.6875,2.6875,0.7629073858261108,52800.0
1976-01-16,0.0,2.8125,2.8125,2.8125,0.7983916997909546,48000.0
1976-01-19,0.0,2.8125,2.8125,2.8125,0.7983916997909546,17600.0
1976-01-20,0.0,2.78125,2.78125,2.78125,0.7895203828811646,25600.0
1976-01-21,0.0,2.75,2.75,2.75,0.7806499004364014,19200.0
1976-01-22,0.0,2.6875,2.6875,2.6875,0.7629073858261108,23200.0
1976-01-23,0.0,2.71875,2.71875,2.71875,0.7717785239219666,32000.0
1976-01-26,0.0,2.75,2.75,2.75,0.7806499004364014,31200.0
1976-01-27,0.0,2.75,2.75,2.75,0.7806499004364014,13600.0
