Date,Open,High,Low,Close,Adj Close,Volume
1993-10-29,19.25,19.375,19.25,19.25,4.0567145347595215,1381000.0
1993-11-01,19.25,19.375,19.25,19.375,4.083058834075928,136800.0
1993-11-02,19.25,19.375,18.625,18.75,3.9513468742370605,182600.0
1993-11-03,18.5,19.0,18.375,18.875,3.977691173553467,146300.0
1993-11-04,18.75,18.875,18.75,18.75,3.9513468742370605,48300.0
1993-11-05,18.75,18.875,18.75,18.75,3.9513468742370605,13900.0
1993-11-08,18.75,18.875,18.75,18.875,3.977691173553467,22800.0
1993-11-09,18.875,19.0,18.75,18.75,3.9513468742370605,10600.0
1993-11-10,18.875,19.0,18.875,18.875,3.977691173553467,143900.0
1993-11-11,18.875,18.875,18.875,18.875,3.977691173553467,29800.0
1993-11-12,18.875,19.0,18.875,19.0,4.004030227661133,10500.0
1993-11-15,18.75,18.75,18.375,18.5,3.898663282394409,181600.0
1993-11-16,18.375,18.5,18.375,18.375,3.8723185062408447,33400.0
1993-11-17,18.5,18.5,18.25,18.25,3.845978260040283,73900.0
1993-11-18,18.25,18.25,17.625,17.625,3.714266538619995,75900.0
1993-11-19,17.0,17.125,16.375,16.875,3.5562119483947754,126700.0
1993-11-22,16.625,16.875,16.5,16.875,3.5562119483947754,32100.0
1993-11-23,16.75,17.125,16.75,17.125,3.6088979244232178,20300.0
1993-11-24,16.875,17.125,16.875,16.875,3.5562119483947754,9800.0
1993-11-26,17.0,17.0,17.0,17.0,3.582554340362549,2500.0
1993-11-29,17.125,17.125,16.875,17.125,3.6088979244232178,48100.0
1993-11-30,17.125,17.25,16.875,17.125,3.6088979244232178,38500.0
1993-12-01,17.125,17.125,17.0,17.0,3.582554340362549,12700.0
1993-12-02,17.0,17.125,16.875,17.125,3.6088979244232178,14800.0
1993-12-03,17.125,17.625,17.125,17.5,3.687924385070801,19600.0
1993-12-06,17.5,17.5,17.25,17.5,3.687924385070801,6000.0
1993-12-07,17.5,17.5,17.0,17.25,3.635239601135254,25100.0
1993-12-08,17.25,17.25,16.875,17.125,3.6088979244232178,8500.0
1993-12-09,17.25,17.25,16.625,16.875,3.5562119483947754,10600.0
1993-12-10,16.875,16.875,16.75,16.875,3.5562119483947754,9500.0
1993-12-13,16.625,16.625,16.375,16.5,3.477185010910034,69000.0
1993-12-14,16.625,17.0,16.5,16.75,3.529869794845581,18000.0
1993-12-15,16.625,16.875,16.5,16.625,3.5035271644592285,36100.0
1993-12-16,16.625,16.625,16.5,16.5,3.477185010910034,7900.0
1993-12-17,16.5,16.625,16.375,16.5,3.477185010910034,9600.0
1993-12-20,16.5,16.5,15.75,16.0,3.371814489364624,58500.0
1993-12-21,15.75,16.25,15.75,16.125,3.3981595039367676,54400.0
1993-12-22,16.25,16.5,16.25,16.5,3.477185010910034,21800.0
1993-12-23,16.75,16.75,16.5,16.625,3.5035271644592285,12200.0
1993-12-27,16.75,16.875,16.75,16.75,3.529869794845581,35500.0
1993-12-28,16.875,16.875,16.75,16.75,3.529869794845581,49500.0
1993-12-29,16.75,16.875,16.625,16.625,3.5035271644592285,23600.0
1993-12-30,16.625,16.875,16.5,16.75,3.529869794845581,66700.0
1993-12-31,16.875,16.875,16.5,16.625,3.5035271644592285,41100.0
1994-01-03,16.75,16.875,16.75,16.875,3.5562119483947754,1900.0
1994-01-04,17.0,17.0,16.875,16.875,3.5562119483947754,10100.0
1994-01-05,16.875,17.0,16.75,16.875,3.5562119483947754,18500.0
1994-01-06,16.75,16.75,16.625,16.75,3.529869794845581,15100.0
1994-01-07,16.625,17.0,16.625,16.875,3.5562119483947754,18000.0
1994-01-10,17.0,17.625,17.0,17.625,3.714266538619995,18600.0
1994-01-11,17.625,17.75,17.5,17.75,3.740607738494873,6300.0
1994-01-12,17.75,18.0,17.75,17.875,3.7669503688812256,17700.0
1994-01-13,17.875,17.875,17.625,17.75,3.740607738494873,6000.0
1994-01-14,17.75,17.75,17.5,17.5,3.687924385070801,5600.0
1994-01-17,17.375,17.5,17.375,17.5,3.687924385070801,12600.0
1994-01-18,17.25,17.375,17.25,17.375,3.6615824699401855,6300.0
1994-01-19,17.5,18.0,17.5,17.875,3.7669503688812256,9900.0
1994-01-20,18.0,18.0,17.5,17.5,3.687924385070801,13000.0
1994-01-21,17.75,17.875,17.5,17.875,3.7669503688812256,7200.0
1994-01-24,17.875,17.875,17.5,17.625,3.714266538619995,4900.0
1994-01-25,17.625,17.875,17.625,17.75,3.740607738494873,18900.0
1994-01-26,17.75,17.75,17.5,17.625,3.714266538619995,1300.0
1994-01-27,17.75,17.75,17.625,17.75,3.740607738494873,2800.0
1994-01-28,17.625,17.75,17.625,17.75,3.740607738494873,13000.0
1994-01-31,17.75,17.875,17.75,17.875,3.7669503688812256,26300.0
1994-02-01,17.875,17.875,17.75,17.875,3.7669503688812256,20400.0
1994-02-02,17.875,17.875,17.625,17.875,3.7669503688812256,18400.0
1994-02-03,17.875,18.0,17.875,18.0,3.79329252243042,11000.0
1994-02-04,18.0,18.0,17.625,17.625,3.714266538619995,8500.0
1994-02-07,17.5,17.875,17.5,17.875,3.8167591094970703,6800.0
1994-02-08,17.75,17.875,17.625,17.75,3.7900683879852295,6400.0
1994-02-09,17.75,18.375,17.75,18.125,3.8701388835906982,11700.0
1994-02-10,18.0,18.125,18.0,18.0,3.8434500694274902,8200.0
1994-02-11,18.125,18.125,17.875,18.0,3.8434500694274902,41900.0
1994-02-14,18.0,18.125,18.0,18.125,3.8701388835906982,23300.0
1994-02-15,18.0,18.25,18.0,18.25,3.8968279361724854,117300.0
1994-02-16,18.125,18.875,18.125,18.625,3.9768996238708496,48000.0
1994-02-17,18.875,18.875,18.625,18.625,3.9768996238708496,56500.0
1994-02-18,18.625,18.75,18.625,18.625,3.9768996238708496,4500.0
1994-02-22,18.5,18.5,18.5,18.5,3.950212001800537,2000.0
1994-02-23,18.625,18.625,18.5,18.5,3.950212001800537,6000.0
1994-02-24,18.375,18.375,18.375,18.375,3.9235198497772217,1500.0
1994-02-25,18.375,18.625,18.375,18.5,3.950212001800537,10200.0
1994-02-28,18.5,18.75,18.5,18.75,4.0035929679870605,3900.0
1994-03-01,18.75,18.75,18.375,18.625,3.9768996238708496,10500.0
1994-03-02,18.375,18.5,18.375,18.5,3.950212001800537,5100.0
1994-03-03,18.375,18.5,18.375,18.375,3.9235198497772217,9100.0
1994-03-04,18.375,18.375,18.375,18.375,3.9235198497772217,3700.0
1994-03-07,18.625,18.625,18.375,18.5,3.950212001800537,1200.0
1994-03-08,18.375,18.5,18.375,18.375,3.9235198497772217,6600.0
1994-03-09,18.25,18.375,18.125,18.375,3.9235198497772217,3400.0
1994-03-10,18.5,18.625,18.25,18.5,3.950212001800537,2800.0
1994-03-11,18.5,18.5,18.5,18.5,3.950212001800537,1200.0
1994-03-14,18.625,18.75,18.5,18.5,3.950212001800537,6200.0
1994-03-15,18.5,18.5,18.375,18.5,3.950212001800537,3500.0
1994-03-16,18.375,18.375,18.0,18.0,3.8434500694274902,3700.0
1994-03-17,17.875,18.25,17.875,18.0,3.8434500694274902,17100.0
1994-03-18,18.25,18.25,18.0,18.0,3.8434500694274902,2000.0
1994-03-21,18.25,18.375,18.125,18.375,3.9235198497772217,1400.0
1994-03-22,18.375,18.5,18.125,18.125,3.8701388835906982,3800.0
1994-03-23,18.375,18.375,18.125,18.375,3.9235198497772217,900.0
1994-03-24,18.5,18.5,18.375,18.375,3.9235198497772217,52000.0
1994-03-25,18.5,18.75,18.5,18.5,3.950212001800537,4400.0
1994-03-28,18.25,18.25,18.125,18.125,3.8701388835906982,2400.0
1994-03-29,18.25,18.25,18.125,18.125,3.8701388835906982,1300.0
1994-03-30,18.125,18.125,18.0,18.0,3.8434500694274902,101300.0
1994-03-31,18.0,18.0,17.875,17.875,3.8167591094970703,16300.0
1994-04-04,17.75,17.75,17.375,17.5,3.7366862297058105,6300.0
1994-04-05,17.75,17.75,17.75,17.75,3.7900683879852295,700.0
1994-04-06,17.75,17.75,17.625,17.625,3.763378381729126,11900.0
1994-04-07,17.75,17.875,17.625,17.875,3.8167591094970703,3300.0
1994-04-08,18.0,18.0,17.75,17.875,3.8167591094970703,7400.0
1994-04-11,17.75,18.0,17.75,18.0,3.8434500694274902,5100.0
1994-04-12,17.75,17.75,17.625,17.625,3.763378381729126,5300.0
1994-04-13,17.75,17.875,17.625,17.625,3.763378381729126,3300.0
1994-04-14,17.625,17.75,17.625,17.625,3.763378381729126,2100.0
1994-04-15,17.625,17.75,17.5,17.75,3.7900683879852295,7800.0
1994-04-18,17.75,17.875,17.75,17.875,3.8167591094970703,5900.0
1994-04-19,17.75,17.75,17.75,17.75,3.7900683879852295,1300.0
1994-04-20,18.0,18.0,17.875,18.0,3.8434500694274902,6100.0
1994-04-21,17.875,17.875,17.875,17.875,3.8167591094970703,4500.0
1994-04-22,18.0,18.0,18.0,18.0,3.8434500694274902,1600.0
1994-04-25,18.0,18.0,17.875,17.875,3.8167591094970703,2300.0
1994-04-26,18.125,18.125,17.875,18.0,3.8434500694274902,1400.0
1994-04-28,18.0,18.0,17.75,17.75,3.7900683879852295,3900.0
1994-04-29,17.75,17.75,17.75,17.75,3.7900683879852295,0.0
1994-05-02,17.625,18.0,17.625,18.0,3.8434500694274902,3000.0
1994-05-03,17.75,17.75,17.5,17.5,3.7366862297058105,11900.0
1994-05-04,17.5,17.625,17.5,17.625,3.763378381729126,29600.0
1994-05-05,17.5,17.5,17.375,17.5,3.7366862297058105,2300.0
1994-05-06,17.5,17.5,17.5,17.5,3.7366862297058105,1000.0
