Date,Open,High,Low,Close,Adj Close,Volume
1992-02-13,2.0,2.09375,2.0,2.046875,1.6675201654434204,18506400.0
1992-02-14,2.0625,2.28125,2.0625,2.25,1.832999587059021,3128000.0
1992-02-18,2.21875,2.28125,2.0625,2.0625,1.6802492141723633,2584800.0
1992-02-19,2.09375,2.15625,2.03125,2.15625,1.756623387336731,2454400.0
1992-02-20,2.125,2.28125,2.125,2.21875,1.8075404167175293,1304000.0
1992-02-21,2.21875,2.28125,2.21875,2.28125,1.8584568500518799,616800.0
1992-02-24,2.21875,2.3125,2.21875,2.3125,1.8839162588119507,772800.0
1992-02-25,2.265625,2.3125,2.25,2.28125,1.8584568500518799,517600.0
1992-02-26,2.3125,2.34375,2.25,2.34375,1.90937340259552,851200.0
1992-02-27,2.28125,2.4375,2.28125,2.40625,1.9602913856506348,555200.0
1992-02-28,2.4375,2.59375,2.375,2.53125,2.0621261596679688,1108800.0
1992-03-02,2.59375,2.609375,2.46875,2.5625,2.0875818729400635,873600.0
1992-03-03,2.546875,2.5625,2.4375,2.46875,2.011206865310669,512000.0
1992-03-04,2.46875,2.53125,2.4375,2.4375,1.98574960231781,163200.0
1992-03-05,2.53125,2.53125,2.34375,2.34375,1.90937340259552,707200.0
1992-03-06,2.390625,2.4375,2.34375,2.34375,1.90937340259552,765600.0
1992-03-09,2.34375,2.4375,2.34375,2.390625,1.9475606679916382,766400.0
1992-03-10,2.34375,2.4375,2.34375,2.4375,1.98574960231781,93600.0
1992-03-11,2.5,2.53125,2.4375,2.453125,1.9984782934188843,222400.0
1992-03-12,2.4375,2.53125,2.4375,2.4375,1.98574960231781,89600.0
1992-03-13,2.4375,2.5625,2.4375,2.53125,2.0621261596679688,211200.0
1992-03-16,2.5,2.5625,2.5,2.5625,2.0875818729400635,94400.0
1992-03-17,2.46875,2.5625,2.46875,2.46875,2.011206865310669,150400.0
1992-03-18,2.46875,2.46875,2.46875,2.46875,2.011206865310669,52000.0
1992-03-19,2.5625,2.5625,2.4375,2.4375,1.98574960231781,68800.0
1992-03-20,2.4375,2.53125,2.4375,2.53125,2.0621261596679688,124800.0
1992-03-23,2.4375,2.515625,2.4375,2.484375,2.0239365100860596,314400.0
1992-03-24,2.46875,2.515625,2.4375,2.4375,1.98574960231781,437600.0
1992-03-25,2.53125,2.53125,2.4375,2.46875,2.011206865310669,79200.0
1992-03-26,2.40625,2.421875,2.40625,2.40625,1.9602913856506348,47200.0
1992-03-27,2.5,2.5,2.4375,2.5,2.0366666316986084,79200.0
1992-03-30,2.4375,2.5,2.4375,2.46875,2.011206865310669,46400.0
1992-03-31,2.4375,2.5,2.4375,2.5,2.0366666316986084,107200.0
1992-04-01,2.4375,2.5,2.40625,2.4375,1.98574960231781,356000.0
1992-04-02,2.5,2.5,2.4375,2.46875,2.011206865310669,51200.0
1992-04-03,2.4375,2.5,2.4375,2.46875,2.011206865310669,116800.0
1992-04-06,2.4375,2.5,2.4375,2.4375,1.98574960231781,71200.0
1992-04-07,2.4375,2.5625,2.4375,2.5,2.0366666316986084,116000.0
1992-04-08,2.4375,2.5,2.4375,2.5,2.0366666316986084,247200.0
1992-04-09,2.4375,2.53125,2.4375,2.46875,2.011206865310669,36000.0
1992-04-10,2.46875,2.53125,2.46875,2.46875,2.011206865310669,87200.0
1992-04-13,2.46875,2.53125,2.46875,2.46875,2.011206865310669,16000.0
1992-04-14,2.53125,2.53125,2.46875,2.46875,2.011206865310669,25600.0
1992-04-15,2.46875,2.5,2.4375,2.4375,1.98574960231781,84800.0
1992-04-16,2.46875,2.5,2.4375,2.4375,1.98574960231781,62400.0
1992-04-20,2.40625,2.40625,2.375,2.375,1.9388089179992676,59200.0
1992-04-21,2.375,2.375,2.375,2.375,1.9388089179992676,7200.0
1992-04-22,2.375,2.46875,2.375,2.46875,2.015340566635132,7200.0
1992-04-23,2.375,2.421875,2.375,2.375,1.9388089179992676,179200.0
1992-04-24,2.375,2.4375,2.34375,2.40625,1.9643205404281616,252800.0
1992-04-27,2.34375,2.4375,2.34375,2.34375,1.913299798965454,62400.0
1992-04-28,2.3125,2.34375,2.25,2.25,1.836767315864563,99200.0
1992-04-29,2.34375,2.34375,2.25,2.28125,1.8622766733169556,552000.0
1992-04-30,2.34375,2.34375,2.25,2.25,1.836767315864563,128000.0
1992-05-01,2.3125,2.3125,2.3125,2.3125,1.88778817653656,6400.0
1992-05-04,2.25,2.3125,2.25,2.3125,1.88778817653656,38400.0
1992-05-05,2.25,2.25,2.203125,2.25,1.836767315864563,55200.0
1992-05-06,2.1875,2.25,2.1875,2.1875,1.78574538230896,461600.0
1992-05-07,2.1875,2.1875,2.125,2.125,1.7347242832183838,28800.0
1992-05-08,2.125,2.25,2.125,2.15625,1.7602341175079346,551200.0
1992-05-11,2.15625,2.25,2.15625,2.25,1.836767315864563,135200.0
1992-05-12,2.15625,2.34375,2.15625,2.21875,1.8112555742263794,291200.0
1992-05-13,2.3125,2.3125,2.234375,2.234375,1.8240123987197876,52800.0
1992-05-14,2.21875,2.234375,2.21875,2.21875,1.8112555742263794,326400.0
1992-05-15,2.21875,2.21875,2.21875,2.21875,1.8112555742263794,800.0
1992-05-18,2.21875,2.21875,2.21875,2.21875,1.8112555742263794,2400.0
1992-05-19,2.21875,2.21875,2.21875,2.21875,1.8112555742263794,27200.0
1992-05-20,2.1875,2.25,2.15625,2.15625,1.7602341175079346,62400.0
1992-05-21,2.15625,2.15625,2.03125,2.09375,1.7092128992080688,151200.0
1992-05-22,2.09375,2.09375,2.03125,2.0625,1.6837034225463867,77600.0
1992-05-26,1.9375,1.9375,1.75,1.921875,1.568904995918274,1848800.0
