Date,Open,High,Low,Close,Adj Close,Volume
1999-11-10,65.0,70.3125,64.5,68.25,38.167396545410156,80793700.0
1999-11-11,68.75,76.9375,68.75,75.0,41.942169189453125,28309000.0
1999-11-12,76.0,76.625,69.25,70.5,39.42564392089844,14768100.0
1999-11-15,70.5,70.875,67.3125,69.0,38.5868034362793,8675100.0
1999-11-16,67.875,68.0,65.0,66.0,36.90911865234375,6978600.0
1999-11-17,65.5625,68.1875,65.125,67.6875,37.85281753540039,5806900.0
1999-11-18,67.9375,68.9375,66.125,66.3125,37.0838623046875,4718700.0
1999-11-19,66.3125,66.3125,64.25,65.0,36.34988784790039,5091100.0
1999-11-22,64.0625,64.25,61.0,63.125,35.301326751708984,4785400.0
1999-11-23,63.375,67.0,63.25,66.1875,37.01399612426758,2832200.0
1999-11-24,66.0,68.1875,65.9375,67.6875,38.025177001953125,2179400.0
1999-11-26,68.4375,69.4375,68.1875,69.125,38.83271408081055,1322500.0
1999-11-29,70.0,70.25,67.0,68.125,38.270938873291016,1987000.0
1999-11-30,67.375,67.625,66.0625,66.0625,37.11227035522461,1686100.0
1999-12-01,66.25,67.375,65.625,65.875,37.00696563720703,1405700.0
1999-12-02,66.0,67.0625,65.875,67.0625,37.67405319213867,1391000.0
1999-12-03,67.4375,67.6875,66.3125,66.4375,37.322940826416016,1753500.0
1999-12-06,66.5,66.5,65.375,66.25,37.21762466430664,1398900.0
1999-12-07,65.9375,68.0,65.875,68.0,38.20071792602539,1793100.0
1999-12-08,68.0,68.375,66.75,68.375,38.411380767822266,1774000.0
1999-12-09,68.375,68.75,66.625,67.5,37.919837951660156,1713600.0
1999-12-10,66.375,67.0,65.375,66.125,37.14739227294922,1248600.0
1999-12-13,66.375,66.9375,64.875,66.0,37.07718276977539,1417800.0
1999-12-14,66.0,66.0,64.75,65.0,36.51540756225586,1886600.0
1999-12-15,65.0,65.0625,63.6875,63.75,35.81316375732422,1602800.0
1999-12-16,63.75,64.0625,63.25,64.0,35.95362854003906,1364600.0
1999-12-17,64.75,67.625,64.6875,66.625,37.428279876708984,1980800.0
1999-12-20,67.6875,68.5,66.9375,68.5,38.48161315917969,1501300.0
1999-12-21,68.25,69.0,67.5,69.0,38.76248550415039,1265200.0
1999-12-22,68.9375,68.9375,66.0625,67.0,37.63896560668945,1264700.0
1999-12-23,66.5,67.875,65.625,67.75,38.060279846191406,1180600.0
1999-12-27,68.5,69.6875,67.5,69.6875,39.148712158203125,1478800.0
1999-12-28,69.5,69.6875,68.0625,69.0,38.76248550415039,1051400.0
1999-12-29,69.0,69.375,67.5625,68.0,38.20071792602539,904700.0
1999-12-30,69.25,69.5,68.0,68.0,38.20071792602539,926700.0
1999-12-31,68.875,69.5,68.375,69.0,38.76248550415039,649300.0
2000-01-03,69.6875,69.75,67.0,67.0625,37.67405319213867,1273200.0
