Date,Open,High,Low,Close,Adj Close,Volume
1995-06-16,7.5,8.0,7.4375,7.5,6.882803916931152,6212400.0
1995-06-19,7.5625,7.625,7.0625,7.1875,6.596017360687256,1528200.0
1995-06-20,7.25,7.3125,7.1875,7.1875,6.596017360687256,863000.0
1995-06-21,7.25,7.25,7.0,7.0625,6.4813055992126465,629000.0
1995-06-22,7.0625,7.5625,7.0,7.3125,6.710729122161865,546200.0
1995-06-23,7.375,7.4375,7.25,7.3125,6.710729122161865,365000.0
1995-06-26,7.3125,7.375,7.0,7.0625,6.4813055992126465,515400.0
1995-06-27,7.125,7.125,7.0,7.0,6.423948287963867,270800.0
1995-06-28,7.0625,7.0625,7.0,7.0,6.423948287963867,500400.0
1995-06-29,7.0,7.125,7.0,7.0,6.423948287963867,309200.0
1995-06-30,7.0625,7.1875,7.0625,7.125,6.538661956787109,95000.0
1995-07-03,7.0625,7.125,7.0625,7.0625,6.4813055992126465,9200.0
1995-07-05,7.125,7.125,7.0625,7.0625,6.4813055992126465,75600.0
1995-07-06,7.0625,7.125,7.0625,7.0625,6.4813055992126465,81400.0
1995-07-07,7.0625,7.625,7.0625,7.5625,6.940160274505615,475000.0
1995-07-10,7.5,7.75,7.5,7.75,7.112227916717529,241400.0
1995-07-11,7.625,8.5625,7.625,8.5,7.800503730773926,538600.0
1995-07-12,8.5,9.0625,8.375,9.0,8.259361267089844,496200.0
1995-07-13,9.0,9.0,8.8125,8.9375,8.202003479003906,384000.0
1995-07-14,8.9375,8.9375,8.75,8.9375,8.202003479003906,102200.0
1995-07-17,9.0625,9.5,9.0625,9.4375,8.660857200622559,480200.0
1995-07-18,9.4375,9.4375,9.0,9.0625,8.316717147827148,359200.0
1995-07-19,9.0,9.0,8.8125,8.875,8.144649505615234,101600.0
1995-07-20,8.75,8.75,8.4375,8.6875,7.972576141357422,119600.0
1995-07-21,8.75,8.75,8.6875,8.6875,7.972576141357422,13000.0
1995-07-24,8.6875,8.8125,8.5625,8.5625,7.8578643798828125,112000.0
1995-07-25,8.5625,8.8125,8.5625,8.75,8.02993392944336,201000.0
1995-07-26,8.875,9.1875,8.875,9.125,8.374079704284668,287800.0
1995-07-27,9.1875,9.375,9.1875,9.3125,8.546148300170898,101600.0
1995-07-28,9.375,9.4375,9.3125,9.3125,8.546148300170898,100400.0
1995-07-31,9.375,9.375,9.0625,9.25,8.488791465759277,60800.0
1995-08-01,9.1875,9.1875,9.0,9.0625,8.316717147827148,57600.0
1995-08-02,9.0,9.0,8.875,8.875,8.144649505615234,41000.0
1995-08-03,8.8125,8.8125,8.75,8.75,8.02993392944336,12600.0
1995-08-04,8.625,8.6875,8.5625,8.625,7.91521692276001,9000.0
1995-08-07,8.5625,8.75,8.5625,8.6875,7.972576141357422,12200.0
1995-08-08,8.625,8.6875,8.5625,8.5625,7.8578643798828125,3200.0
1995-08-09,8.4375,8.4375,8.1875,8.1875,7.51372766494751,24000.0
1995-08-10,8.25,8.25,8.125,8.125,7.456367015838623,6800.0
1995-08-11,8.125,8.125,8.125,8.125,7.456367015838623,10000.0
1995-08-14,8.0625,8.125,7.9375,8.0,7.341656684875488,28200.0
1995-08-15,8.0,8.0625,8.0,8.0,7.341656684875488,9400.0
1995-08-16,8.0625,8.25,8.0625,8.1875,7.51372766494751,11800.0
1995-08-17,8.1875,8.3125,8.1875,8.25,7.571083068847656,6200.0
1995-08-18,8.375,8.375,8.25,8.25,7.571083068847656,9800.0
1995-08-21,8.25,8.4375,8.25,8.375,7.685799598693848,8600.0
1995-08-22,8.3125,8.4375,8.3125,8.4375,7.743153095245361,12400.0
1995-08-23,8.5,8.6875,8.5,8.5625,7.8578643798828125,28800.0
1995-08-24,8.625,8.75,8.625,8.75,8.02993392944336,16200.0
1995-08-25,8.625,8.625,8.5625,8.5625,7.8578643798828125,30200.0
1995-08-28,8.5625,8.5625,8.4375,8.4375,7.743153095245361,9200.0
1995-08-29,8.375,8.375,8.1875,8.1875,7.51372766494751,9200.0
1995-08-30,8.25,8.25,8.1875,8.1875,7.51372766494751,1400.0
1995-08-31,8.125,8.1875,8.125,8.125,7.456367015838623,13800.0
1995-09-01,8.0,8.0625,8.0,8.0625,7.399012565612793,9200.0
1995-09-05,8.0,8.0625,8.0,8.0,7.341656684875488,12200.0
1995-09-06,7.9375,8.0625,7.8125,7.8125,7.169583797454834,23400.0
1995-09-07,7.8125,7.875,7.625,7.75,7.112227916717529,48800.0
1995-09-08,7.75,8.0,7.75,7.9375,7.284297466278076,140200.0
1995-09-11,7.9375,7.9375,7.8125,7.875,7.226941108703613,104000.0
