,Start Date,End Date,MW Direction-Based Return,Average Return,Best Stock Return,MW Return,Best Positive Days Stock Return,Error Term,Best Stock Positive Days,MW Direction-Based Positive Days
0,2013-01-01,2013-07-02,24.25%,23.24%,107.58%,24.44%,107.58%,55.82890796594112,84,76
1,2013-07-02,2013-12-31,23.56%,19.85%,77.30%,20.04%,77.30%,56.10718106900252,82,73
2,2013-12-31,2014-07-01,4.98%,4.36%,32.88%,5.70%,32.88%,55.906960290376055,82,72
3,2014-07-01,2014-12-30,10.77%,9.09%,62.44%,9.62%,62.44%,56.145999328712676,82,68
4,2014-12-30,2015-06-30,0.44%,2.11%,23.29%,0.50%,23.29%,55.974086659554146,76,79
5,2015-06-30,2015-12-29,6.05%,3.11%,38.68%,2.67%,38.68%,56.232055291391845,84,69
6,2015-12-29,2016-06-28,30.17%,29.64%,82.94%,32.63%,82.94%,56.04015642922536,83,77
7,2016-06-28,2016-12-27,20.94%,14.63%,79.62%,17.10%,79.62%,56.26035435578873,85,61
8,2016-12-27,2017-06-27,12.46%,7.98%,75.96%,6.79%,75.96%,56.068156510857,81,71
9,2017-06-27,2017-12-26,3.17%,6.26%,55.91%,4.73%,55.91%,56.30710074769553,80,73
10,2017-12-26,2018-06-26,-9.20%,-8.43%,101.70%,-8.46%,101.70%,56.08671985999213,77,68
11,2018-06-26,2018-12-25,-27.89%,-30.59%,7.57%,-33.52%,7.57%,56.105201335701636,76,62
12,2018-12-25,2019-06-25,61.11%,44.05%,119.20%,53.17%,119.20%,55.893052100526084,86,76
13,2019-06-25,2019-12-24,-6.86%,0.88%,-3.15%,-1.05%,-3.15%,56.59145852679592,79,75
14,2019-12-24,2020-06-23,9.58%,-1.32%,108.96%,-2.78%,108.96%,55.92954735262358,76,74
15,2020-06-23,2020-12-22,-3.96%,3.93%,21.48%,0.93%,21.48%,56.60980162255227,82,72
16,2020-12-22,2021-06-22,-0.37%,7.41%,63.54%,6.72%,63.54%,55.94767590186768,79,66
17,2021-06-22,2021-12-21,-7.55%,-4.12%,60.11%,-1.67%,60.11%,56.618943344147496,78,66
18,2021-12-21,2022-06-21,-14.09%,-17.66%,92.86%,-15.39%,92.86%,55.956710699064196,80,70
